,Carat,table,depth,x,y,z,cut,color,clarity,price
19119,1.0,57.0,60.8,6.47,6.45,3.93,Ideal,G,VVS2,7885
15803,1.21,58.0,61.76785962072156,6.78,6.79,4.27,Very Good,E,SI1,6324
23971,1.51,55.6,62.4,7.28,7.33,4.56,Very Good,H,VS2,12108
3657,0.7983089555010006,59.0,61.9,5.72,5.734447312568118,3.58,Very Good,F,VVS2,3442
48350,0.51,57.0,61.6,5.13,5.16,3.17,Ideal,D,VS1,1962
27508,0.7983089555010006,61.0,62.4,8.31,8.23,5.16,Premium,E,SI2,18232
27508,0.7983089555010006,61.0,62.4,8.31,8.23,5.16,Premium,E,SI2,18232
202,0.7,58.0,60.5,5.77,5.74,3.48,Premium,E,SI1,2777
45422,0.55,55.0,61.4,5.29,5.26,3.24,Ideal,E,SI1,1668
43458,0.51,60.0,59.1,5.18,5.21,3.07,Very Good,G,VS2,1417
30202,0.42,58.0,60.2,4.85,4.89,2.93,Very Good,D,SI1,723
39458,0.47,55.0,61.5,5.0,5.04,3.09,Very Good,D,SI2,1078
13279,1.14,58.0,62.8,6.62,6.67,4.17,Good,H,SI1,5487
33110,0.31,56.0,61.9,4.37,4.32,2.69,Premium,E,VS1,816
44539,0.7983089555010006,60.0,61.4,5.07,5.13,3.13,Very Good,F,VS1,1604
11502,0.71,56.0,61.7,5.73,5.77,3.55,Ideal,F,VVS1,5019
25505,0.7983089555010006,57.0,62.3,8.12,8.2,5.09,Very Good,I,SI2,14298
15633,0.7983089555010006,61.0,61.3,6.38,6.34,3.9,Premium,F,VS2,6271
33109,0.31,60.0,61.0,4.37,4.35,2.66,Premium,E,VS1,816
33109,0.31,60.0,61.0,4.37,4.35,2.66,Premium,E,VS1,816
33109,0.31,60.0,61.0,4.37,4.35,2.66,Premium,E,VS1,816
39248,0.41,55.0,62.4,4.74,4.78,2.97,Ideal,G,VVS1,1068
39248,0.41,55.0,62.4,4.74,4.78,2.97,Ideal,G,VVS1,1068
40380,0.3,56.0,60.7,4.35,4.38,2.65,Ideal,F,IF,1131
50716,0.7,59.0,62.3,5.71,5.66,3.54,Premium,H,VS1,2293
16181,0.7983089555010006,60.0,62.4,6.38,6.35,3.97,Premium,F,VS2,6468
741,0.7983089555010006,58.0,62.6,4.42,4.4,2.76,Premium,G,SI2,557
18760,1.05,60.0,59.8,6.54,6.61,3.93,Very Good,G,VVS2,7667
52890,0.55,57.0,61.3,5.26,5.28,3.23,Very Good,D,VVS2,2585
3369,0.3,56.0,62.3,4.28,4.29,2.67,Ideal,I,VS2,407
15410,1.51,58.0,63.2,7.28,7.25,4.59,Very Good,J,SI2,6171
14983,1.01,60.0,58.5,6.52,6.54,3.82,Very Good,F,VS2,6037
50050,0.7983089555010006,56.0,62.6,5.69,5.66,3.55,Ideal,F,SI1,2200
2229,0.9,55.0,66.8,5.98,5.9,3.97,Fair,H,SI1,3145
22990,2.06,57.0,62.0,8.1,8.06,5.01,Ideal,H,SI2,11040
29141,0.31,56.0,60.8,4.39,4.42,2.68,Ideal,D,VS2,692
10951,1.03,56.0,62.0,6.43,6.5,4.01,Ideal,H,SI1,4900
10951,1.03,56.0,62.0,6.43,6.5,4.01,Ideal,H,SI1,4900
2635,0.71,55.0,61.7,5.73,5.75,3.54,Ideal,H,VS1,3229
5607,0.7983089555010006,57.0,63.4,6.09,6.12,3.87,Very Good,I,VVS1,3872
17502,1.02,57.0,62.8,6.41,6.36,4.01,Ideal,F,VS2,7037
48465,0.7,58.0,61.76785962072156,5.65,5.71,3.51,Very Good,I,SI2,1977
2497,1.01,60.0,66.1,6.15,6.13,4.06,Fair,F,SI1,3197
11608,1.15,57.0,60.9,6.72,6.8,4.12,Very Good,H,SI1,5047
19882,1.5,59.0,62.3,7.24,7.3,4.53,Premium,I,VS2,8431
52163,0.72,59.0,62.6,5.66,5.71,3.56,Very Good,E,SI1,2474
4523,1.03,56.0,61.0,6.58,6.52,3.99,Ideal,F,I1,3634
4523,1.03,56.0,61.0,6.58,6.52,3.99,Ideal,F,I1,3634
37485,0.35,59.0,58.9,4.64,4.59,2.72,Premium,E,VS2,984
20502,1.59,57.0,62.1,5.729355091583495,5.734447312568118,4.64,Ideal,I,SI1,8835
20502,1.59,57.0,62.1,5.729355091583495,5.734447312568118,4.64,Ideal,I,SI1,8835
16029,0.3,54.0,62.5,4.32,4.29,2.69,Ideal,I,VS1,608
50274,0.7,58.0,61.9,5.63,5.67,3.5,Good,E,SI1,2239
35520,0.43,57.0,61.1,4.86,4.9,2.98,Very Good,F,VS2,905
44601,0.53,57.0,60.4,5.27,5.23,3.17,Ideal,G,VS2,1607
24609,0.7983089555010006,57.0,61.8,7.77,7.64,4.76,Premium,H,SI1,12931
23093,1.13,56.0,61.6,6.69,6.71,4.13,Ideal,E,VVS2,11115
5510,1.06,58.0,61.5,6.59,6.55,4.04,Premium,I,SI2,3847
4815,0.71,57.0,61.8,5.73,5.76,3.55,Good,F,VS1,3701
30455,0.7983089555010006,56.0,61.7,4.34,5.734447312568118,2.67,Ideal,F,VS1,731
20801,1.5,58.0,62.8,7.17,7.23,4.52,Very Good,I,VS1,9033
20801,1.5,58.0,62.8,7.17,7.23,4.52,Very Good,I,VS1,9033
20801,1.5,58.0,62.8,7.17,7.23,4.52,Very Good,I,VS1,9033
40175,0.38,57.0,60.6,4.73,4.7,2.85,Ideal,H,VS1,1117
32302,0.37,60.0,61.76785962072156,4.6,4.63,2.82,Premium,J,VS2,454
24490,2.0,56.0,65.2,7.92,7.87,5.15,Fair,H,VS2,12765
12811,1.05,57.0,61.9,6.54,6.57,4.06,Ideal,H,SI1,5342
12811,1.05,57.0,61.9,6.54,6.57,4.06,Ideal,H,SI1,5342
9035,0.36,57.0,61.4,4.59,4.63,2.83,Ideal,H,VS2,587
16486,1.29,57.0,61.6,7.02,6.97,4.31,Premium,H,SI1,6588
24874,1.54,60.0,60.2,7.51,7.44,4.5,Ideal,G,VS2,13292
24874,1.54,60.0,60.2,7.51,7.44,4.5,Ideal,G,VS2,13292
24874,1.54,60.0,60.2,7.51,7.44,4.5,Ideal,G,VS2,13292
24874,1.54,60.0,60.2,7.51,7.44,4.5,Ideal,G,VS2,13292
14949,1.0,57.0,64.1,6.32,6.29,4.04,Ideal,D,SI1,6020
10139,1.04,59.0,61.0,6.51,6.54,3.98,Premium,D,SI2,4724
10139,1.04,59.0,61.0,6.51,6.54,3.98,Premium,D,SI2,4724
26156,1.92,57.0,61.3,8.0,8.06,4.92,Ideal,H,SI1,15472
28788,0.37,55.0,63.7,4.55,4.59,2.91,Ideal,G,SI1,681
19982,1.03,57.0,61.76785962072156,6.53,6.49,3.537891143452734,Premium,F,VVS2,8527
313,0.61,56.0,62.3,5.43,5.45,3.39,Ideal,G,IF,2800
44459,0.54,59.8,60.0,5.3,5.34,3.18,Very Good,D,SI1,1593
44459,0.54,59.8,60.0,5.3,5.34,3.18,Very Good,D,SI1,1593
46616,0.51,55.0,61.8,5.1,5.16,3.17,Ideal,D,VS2,1787
47856,0.68,59.0,59.8,5.72,5.66,3.4,Premium,D,SI1,1909
21531,1.17,56.0,61.6,6.77,6.83,4.18,Ideal,G,VVS2,9630
1955,0.7,59.0,64.1,5.49,5.56,3.54,Good,D,VS2,3087
50294,0.31,56.0,61.9,4.34,4.38,2.7,Ideal,G,VS1,542
50294,0.31,56.0,61.9,4.34,4.38,2.7,Ideal,G,VS1,542
50315,0.7,55.0,61.2,5.76,5.68,3.5,Ideal,E,SI2,2239
46053,0.51,56.0,61.7,5.13,5.17,3.18,Ideal,E,SI1,1732
30866,0.33,58.0,62.0,4.45,4.42,2.75,Premium,G,VS2,743
30866,0.33,58.0,62.0,4.45,4.42,2.75,Premium,G,VS2,743
43244,0.7983089555010006,56.0,62.0,4.78,4.84,2.98,Ideal,E,VVS1,1400
43244,0.7983089555010006,56.0,62.0,4.78,4.84,2.98,Ideal,E,VVS1,1400
43865,0.7983089555010006,54.0,61.7,5.14,5.16,3.18,Ideal,G,VS2,1449
18973,1.21,56.0,60.9,6.89,6.94,4.21,Ideal,H,SI1,7810
28175,0.35,55.0,62.4,4.49,4.52,2.81,Ideal,F,VS1,665
28175,0.35,55.0,62.4,4.49,4.52,2.81,Ideal,F,VS1,665
35438,0.32,54.0,62.0,4.41,4.37,2.72,Ideal,E,VS2,900
45691,0.53,55.0,60.7,5.32,5.25,3.21,Ideal,F,VS1,1697
25426,2.01,57.0,61.9,8.09,8.06,5.0,Ideal,H,SI2,14167
40920,0.29,58.0,60.4,4.28,4.33,2.6,Very Good,E,VS1,499
25035,0.34,60.1,60.5,4.5,4.53,2.73,Good,E,SI1,641
235,0.7,60.0,61.76785962072156,5.74,5.77,3.48,Very Good,H,VVS1,2788
27621,2.37,55.0,61.9,5.729355091583495,8.56,5.29,Ideal,J,SI1,18508
10171,1.0,57.0,66.7,6.11,6.04,4.05,Fair,F,VS2,4732
18512,1.21,55.7,62.3,6.8,6.85,4.25,Ideal,F,SI1,7546
30672,0.4,57.0,61.76785962072156,5.729355091583495,4.7,2.95,Very Good,F,SI1,737
32246,0.31,54.0,61.76785962072156,4.38,4.4,2.72,Ideal,H,IF,789
41260,0.31,59.0,59.5,4.45,4.39,2.63,Premium,H,SI2,501
41260,0.31,59.0,59.5,4.45,4.39,2.63,Premium,H,SI2,501
2386,0.32,60.0,61.5,4.36,4.39,2.69,Premium,G,VS2,561
2386,0.32,60.0,61.5,4.36,4.39,2.69,Premium,G,VS2,561
40758,0.4,58.0,60.7,4.75,4.7,2.87,Premium,F,VVS2,1163
37727,0.3,57.0,63.5,4.27,4.23,2.7,Very Good,E,VVS1,995
37727,0.3,57.0,63.5,4.27,4.23,2.7,Very Good,E,VVS1,995
2509,0.7,57.0,61.7,5.76,5.73,3.54,Ideal,D,SI1,3199
19568,1.21,58.0,61.6,6.88,6.82,4.22,Premium,F,VS1,8196
25077,2.11,58.0,62.2,8.19,8.23,5.11,Premium,G,SI2,13598
6659,0.72,54.9,62.0,5.75,5.78,3.57,Ideal,E,VVS2,4094
18289,1.22,57.0,60.4,6.91,6.99,4.2,Ideal,I,VS2,7430
33459,0.32,58.0,62.8,4.39,4.34,2.74,Premium,G,VS1,828
28941,0.3,57.0,62.7,4.26,4.29,2.68,Ideal,G,VVS2,684
14872,1.01,58.0,63.2,6.33,6.36,4.01,Good,F,VS2,5988
28781,0.37,59.0,61.6,4.62,4.66,2.86,Premium,I,VVS1,681
15709,0.24,56.0,62.3,3.97,4.01,2.49,Very Good,F,VVS1,608
10317,0.7983089555010006,61.0,61.3,6.49,6.46,3.97,Premium,D,SI2,4764
10317,0.7983089555010006,61.0,61.3,6.49,6.46,3.97,Premium,D,SI2,4764
17216,0.7983089555010006,59.0,61.7,7.05,7.09,4.36,Very Good,I,VS2,6884
22319,1.62,59.0,61.7,7.55,7.47,4.63,Premium,I,VS1,10362
42937,0.36,58.0,61.76785962072156,4.56,4.61,2.82,Premium,E,SI2,505
50683,0.7,57.0,61.3,5.72,5.77,3.52,Ideal,G,SI1,2288
50683,0.7,57.0,61.3,5.72,5.77,3.52,Ideal,G,SI1,2288
50683,0.7,57.0,61.3,5.72,5.77,3.52,Ideal,G,SI1,2288
30094,0.32,61.0,61.7,4.43,4.38,2.72,Premium,H,VS1,720
51988,0.25,57.0,61.7,4.08,4.12,2.53,Very Good,E,VVS2,548
52581,0.7,57.0,63.3,5.62,5.66,3.57,Very Good,G,VS2,2538
23850,1.5,57.0,61.9,7.31,7.38,4.55,Very Good,E,VS2,11939
16319,1.22,61.0,59.2,6.99,6.92,4.12,Very Good,G,SI2,6531
30249,0.26,57.42490893754073,60.8,4.13,4.12,2.51,Premium,E,VVS2,724
10241,1.13,55.0,62.7,6.69,6.61,4.17,Premium,H,SI2,4746
2726,0.34,55.0,61.9,4.51,4.53,2.8,Ideal,E,SI1,565
45475,0.72,59.0,61.3,5.81,5.76,3.55,Premium,F,SI2,1676
52816,0.71,55.0,59.3,5.83,5.9,3.48,Ideal,E,SI1,2573
52816,0.71,55.0,59.3,5.83,5.9,3.48,Ideal,E,SI1,2573
21716,0.32,57.0,59.8,4.48,4.52,2.69,Ideal,H,VVS2,628
21716,0.32,57.0,59.8,4.48,4.52,2.69,Ideal,H,VVS2,628
20558,1.21,55.0,60.1,7.01,6.91,4.18,Premium,F,VS2,8870
9457,1.09,59.0,62.2,6.46,6.49,4.03,Very Good,D,SI2,4598
3557,0.79,56.0,62.4,5.91,5.94,3.7,Ideal,H,VVS2,3417
26533,2.02,59.0,59.8,8.21,8.3,4.94,Very Good,I,SI1,16192
36970,0.39,55.0,62.2,4.66,4.7,2.91,Very Good,E,SI1,962
18168,1.25,57.0,62.2,6.92,6.88,4.29,Ideal,H,VS2,7365
2361,0.7,61.0,62.9,5.65,5.57,3.53,Premium,E,VS1,3175
8955,1.02,55.0,63.8,6.37,6.4,4.07,Very Good,G,SI2,4501
8955,1.02,55.0,63.8,6.37,6.4,4.07,Very Good,G,SI2,4501
17784,1.32,61.0,61.5,7.05,6.97,4.31,Premium,H,SI1,7163
44116,0.54,62.0,59.6,5.31,5.36,3.18,Very Good,E,SI1,1559
45993,0.5,57.0,62.2,5.13,5.1,3.18,Ideal,E,VS1,1724
38822,0.7983089555010006,58.0,62.4,5.0,5.06,3.537891143452734,Very Good,I,SI1,1048
722,0.7983089555010006,55.0,61.9,4.57,4.59,2.83,Ideal,H,SI1,556
13983,1.24,60.0,59.9,7.02,7.0,4.2,Premium,H,SI2,5694
2178,0.8,59.0,59.6,6.09,6.0,3.6,Premium,G,VS2,3136
2178,0.8,59.0,59.6,6.09,6.0,3.6,Premium,G,VS2,3136
43208,0.5,57.0,59.8,5.12,5.18,3.08,Good,E,VS2,1395
53771,0.7,53.0,62.3,5.7,5.72,3.56,Ideal,D,SI1,2726
50457,0.7,61.0,58.7,5.77,5.81,3.4,Good,F,SI1,2264
15600,1.01,58.0,61.9,6.38,6.48,3.98,Very Good,G,VVS2,6257
15600,1.01,58.0,61.9,6.38,6.48,3.98,Very Good,G,VVS2,6257
2184,1.0,57.42490893754073,62.5,6.41,6.33,3.98,Premium,G,SI2,3136
45019,0.54,56.0,61.9,5.24,5.2,3.23,Ideal,H,SI1,1637
18599,1.01,57.0,61.5,6.44,6.47,3.97,Ideal,E,VS1,7589
29954,0.33,58.0,63.2,4.36,4.38,2.76,Good,I,SI1,445
26036,0.32,58.0,61.7,4.38,4.41,2.71,Premium,G,VS1,645
45144,0.5,60.0,61.1,5.12,5.1,3.12,Premium,F,VS2,1654
8072,1.01,59.0,60.6,6.42,6.45,3.9,Very Good,J,VS2,4337
52718,0.57,55.0,62.3,5.31,5.32,3.31,Ideal,F,VVS1,2555
12846,1.03,56.0,62.8,6.38,6.46,4.03,Ideal,F,SI1,5356
37369,0.7983089555010006,57.42490893754073,62.4,4.72,4.74,2.95,Ideal,G,VVS2,982
37730,0.53,56.0,62.7,5.15,5.18,3.24,Ideal,J,SI1,996
18834,1.03,59.0,62.9,6.43,6.38,4.03,Premium,D,VS2,7718
18834,1.03,59.0,62.9,6.43,6.38,4.03,Premium,D,VS2,7718
16843,1.5,61.0,58.3,7.55,7.4,4.34,Premium,G,SI2,6720
16843,1.5,61.0,58.3,7.55,7.4,4.34,Premium,G,SI2,6720
38563,0.5,58.0,61.7,5.07,5.11,3.14,Ideal,H,SI1,1035
38563,0.5,58.0,61.7,5.07,5.11,3.14,Ideal,H,SI1,1035
38563,0.5,58.0,61.7,5.07,5.11,3.14,Ideal,H,SI1,1035
17032,1.14,58.0,63.2,6.67,6.63,4.2,Very Good,G,VS2,6803
17988,1.11,58.0,60.4,6.73,6.66,4.04,Ideal,F,VS2,7275
22768,1.4,58.0,60.0,7.24,7.29,4.36,Very Good,F,VS2,10790
5272,0.9,56.0,61.9,6.19,6.24,3.85,Ideal,F,SI2,3796
39197,0.43,56.0,61.5,4.87,4.82,2.98,Ideal,D,SI1,1064
31797,0.42,58.0,61.5,4.8,4.83,2.96,Premium,F,SI1,773
31797,0.42,58.0,61.5,4.8,4.83,2.96,Premium,F,SI1,773
33380,0.41,58.0,62.1,4.76,4.78,2.96,Premium,I,VVS2,827
39734,0.4,57.0,61.6,4.73,4.75,2.92,Ideal,E,VS2,1092
47595,0.53,57.0,60.9,5.24,5.17,3.17,Ideal,D,VS2,1877
26232,1.55,56.0,61.6,7.38,7.45,4.57,Very Good,F,VS1,15658
1486,0.6,54.0,60.1,5.5,5.58,3.33,Very Good,F,IF,2988
26121,2.01,58.0,62.6,8.03,5.734447312568118,5.0,Premium,H,VS2,15395
34704,0.31,59.0,60.8,4.36,5.734447312568118,2.66,Premium,F,IF,874
21577,1.51,62.0,61.8,7.25,7.29,4.49,Good,G,SI1,9681
20507,1.77,55.0,62.0,7.84,7.72,4.82,Premium,J,SI2,8840
9958,0.7983089555010006,57.0,62.0,6.61,6.55,4.08,Premium,H,SI2,4700
9958,0.7983089555010006,57.0,62.0,6.61,6.55,4.08,Premium,H,SI2,4700
9958,0.7983089555010006,57.0,62.0,6.61,6.55,4.08,Premium,H,SI2,4700
36192,0.4,57.0,62.6,4.68,4.75,2.95,Ideal,G,VVS2,931
33588,0.41,56.0,61.76785962072156,4.68,4.72,3.04,Fair,G,VVS2,833
33588,0.41,56.0,61.76785962072156,4.68,4.72,3.04,Fair,G,VVS2,833
8212,1.02,59.0,62.9,6.4,6.38,4.02,Premium,G,SI2,4370
8212,1.02,59.0,62.9,6.4,6.38,4.02,Premium,G,SI2,4370
48735,0.78,56.0,62.0,5.93,5.87,3.66,Ideal,I,VS2,2012
23583,2.0,55.0,65.2,7.9,7.85,5.13,Fair,H,SI2,11600
38113,0.3,56.0,61.5,4.34,4.31,2.66,Ideal,H,IF,1013
4293,0.91,57.0,61.76785962072156,6.27,6.3,3.83,Ideal,F,SI2,3588
4293,0.91,57.0,61.76785962072156,6.27,6.3,3.83,Ideal,F,SI2,3588
7285,0.9,63.0,60.5,6.13,6.16,3.72,Very Good,H,VS1,4201
38497,0.42,56.0,62.7,4.74,5.734447312568118,2.98,Ideal,G,VVS2,1031
34614,0.31,56.0,63.8,4.33,4.29,2.75,Good,H,VS2,470
2633,0.7,57.0,62.9,5.67,5.61,3.55,Ideal,D,SI1,3229
2633,0.7,57.0,62.9,5.67,5.61,3.55,Ideal,D,SI1,3229
2633,0.7,57.0,62.9,5.67,5.61,3.55,Ideal,D,SI1,3229
462,0.7,61.0,62.4,5.66,5.63,3.52,Premium,E,VS2,2818
26171,0.7983089555010006,58.0,61.9,7.34,7.4,4.56,Very Good,F,VS1,15508
3044,0.27,58.0,60.1,4.21,4.23,2.53,Very Good,G,VVS1,566
23984,1.56,57.42490893754073,60.7,7.49,7.53,4.56,Ideal,H,VS2,12146
23984,1.56,57.42490893754073,60.7,7.49,7.53,4.56,Ideal,H,VS2,12146
7132,0.92,56.0,62.6,6.21,6.19,3.88,Ideal,G,SI1,4173
161,0.72,56.0,60.3,5.81,5.83,3.51,Very Good,H,VVS2,2771
8466,1.03,59.0,59.0,6.55,6.6,3.88,Good,F,SI2,4414
25227,1.51,60.0,62.9,7.3,7.21,4.56,Premium,G,VVS2,13828
12968,1.12,54.0,61.2,6.74,6.77,4.13,Ideal,I,VS2,5392
47975,0.38,54.0,62.1,4.65,4.69,2.9,Ideal,J,VS2,532
18484,1.5,57.0,62.7,7.35,7.28,4.59,Premium,I,SI2,7526
18484,1.5,57.0,62.7,7.35,7.28,4.59,Premium,I,SI2,7526
18484,1.5,57.0,62.7,7.35,7.28,4.59,Premium,I,SI2,7526
18484,1.5,57.0,62.7,7.35,7.28,4.59,Premium,I,SI2,7526
34493,0.32,55.0,62.0,4.39,4.41,3.537891143452734,Ideal,D,VVS2,867
2313,0.87,59.0,61.76785962072156,6.29,6.44,3.65,Fair,I,VS2,3166
36617,0.32,57.0,59.8,4.4,4.46,2.65,Ideal,D,SI2,477
9865,1.03,58.0,61.7,6.47,6.5,4.0,Premium,D,SI2,4679
9865,1.03,58.0,61.7,6.47,6.5,4.0,Premium,D,SI2,4679
20833,1.3,55.0,61.9,7.01,7.04,4.35,Ideal,G,VS2,9060
20833,1.3,55.0,61.9,7.01,7.04,4.35,Ideal,G,VS2,9060
400,0.3,55.0,63.8,4.26,4.2,2.7,Good,H,SI1,554
33487,0.32,54.0,62.4,4.4,4.38,2.74,Ideal,F,VS2,828
25223,1.22,60.0,61.1,6.87,6.85,4.19,Premium,E,VVS1,13824
41068,0.54,56.0,61.4,5.27,5.29,3.24,Ideal,G,SI2,1192
32937,0.37,57.42490893754073,61.9,4.62,4.65,2.87,Ideal,E,VS2,811
22978,1.52,57.0,60.3,5.729355091583495,7.48,4.54,Ideal,G,SI1,11028
22109,1.87,57.0,62.3,7.88,7.82,4.89,Ideal,J,SI1,10137
21969,1.5,62.0,59.0,7.39,7.31,4.56,Premium,H,SI1,10038
8892,0.92,57.0,61.76785962072156,6.22,6.27,3.86,Ideal,I,SI1,4488
46248,0.7983089555010006,58.0,61.0,5.22,5.734447312568118,3.17,Premium,D,SI1,1753
47295,0.3,56.0,63.4,4.26,4.29,2.71,Good,F,SI2,394
47295,0.3,56.0,63.4,4.26,4.29,2.71,Good,F,SI2,394
33121,0.31,56.0,61.0,5.729355091583495,4.43,2.69,Ideal,E,VVS2,816
46018,0.53,55.0,62.0,5.21,5.17,3.22,Ideal,E,VS2,1727
43017,0.5,54.0,61.9,5.12,5.15,3.18,Ideal,H,VS1,1370
34005,0.42,59.0,61.7,4.76,4.83,2.96,Premium,H,VS1,847
37208,0.34,56.0,61.3,4.52,4.55,2.78,Ideal,G,IF,974
22621,1.02,57.0,62.2,6.4,6.59,4.04,Very Good,E,VVS1,10672
6724,0.7983089555010006,56.0,60.3,4.24,4.27,2.56,Ideal,F,VS2,577
6724,0.7983089555010006,56.0,60.3,4.24,4.27,2.56,Ideal,F,VS2,577
13732,0.7983089555010006,58.0,60.9,4.37,4.3,2.64,Premium,F,SI1,603
14336,0.7983089555010006,59.0,63.0,6.4,6.36,4.02,Premium,G,VS2,5806
9703,0.32,57.0,60.8,4.41,4.44,2.69,Ideal,D,SI1,589
12265,1.5,61.0,64.0,7.18,7.14,4.58,Good,H,SI2,5208
38159,0.34,56.0,62.0,4.48,4.52,2.79,Ideal,E,VVS1,1014
24223,1.57,59.0,62.3,7.44,7.39,4.62,Premium,D,SI1,12417
13419,1.23,58.0,61.76785962072156,6.82,6.79,4.27,Premium,J,VS1,5510
6695,0.31,53.0,63.3,4.3,4.32,2.73,Good,I,SI1,408
27152,2.01,57.0,60.6,8.19,8.09,4.92,Ideal,H,SI1,17383
27152,2.01,57.0,60.6,8.19,8.09,4.92,Ideal,H,SI1,17383
47304,0.31,55.0,62.2,4.32,4.36,2.7,Ideal,J,VS2,396
18703,0.35,56.0,61.3,4.52,4.54,2.78,Ideal,I,VVS2,620
30799,0.3,57.0,62.8,4.27,4.3,2.69,Ideal,D,VS1,742
39878,0.42,55.0,60.7,4.89,4.86,2.96,Ideal,G,VVS2,1103
39878,0.42,55.0,60.7,4.89,4.86,2.96,Ideal,G,VVS2,1103
38611,0.31,60.0,62.3,4.34,4.29,2.69,Premium,J,VS2,488
36330,0.32,59.0,61.2,4.44,4.39,2.7,Premium,G,VVS2,936
38715,0.53,56.0,61.4,5.2,5.734447312568118,3.2,Ideal,J,SI1,1042
9127,1.2,55.0,62.5,6.84,6.79,4.26,Ideal,J,SI1,4536
27575,0.7983089555010006,60.0,58.5,7.83,7.76,4.56,Premium,F,VS1,18398
44155,0.54,57.0,62.7,5.14,5.22,3.25,Ideal,I,VVS1,1564
15405,1.02,54.0,60.5,6.57,6.48,3.95,Premium,G,SI1,6169
15405,1.02,54.0,60.5,6.57,6.48,3.95,Premium,G,SI1,6169
26468,2.28,57.0,62.9,8.34,8.41,5.27,Very Good,I,SI2,16041
25765,1.66,57.0,61.5,7.59,7.62,4.68,Ideal,H,IF,14724
13762,1.1,56.0,61.6,6.59,6.68,4.09,Ideal,G,SI1,5610
18588,1.56,58.0,62.9,7.31,5.734447312568118,3.537891143452734,Very Good,I,SI1,7584
13104,1.07,59.0,62.1,6.56,6.52,4.06,Premium,H,VS2,5424
8178,1.05,56.0,61.3,6.56,6.59,4.03,Ideal,J,SI2,4364
8178,1.05,56.0,61.3,6.56,6.59,4.03,Ideal,J,SI2,4364
